xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,faultNumber,is_anomaly
0.24514,3709.2,4569.1,9.2493,27.056,42.243,2701.1,75.026,120.39,0.34775,80.119,49.628,2628.0,25.513,50.101,3101.1,22.862,65.172,218.64,338.85,94.636,77.187,31.839,9.0493,26.538,6.8646,18.822,1.6889,32.288,13.762,24.129,1.4065,18.758,2.2359,4.9097,2.3144,0.0085789,0.85469,0.11207,53.758,45.16,63.216,53.392,24.001,64.29,21.318,40.961,37.005,46.767,43.918,41.306,18.343,0.0,0
0.24268,3721.1,4488.6,9.4939,26.943,42.336,2712.0,74.212,120.41,0.31722,79.705,48.86,2641.3,24.173,51.921,3110.2,22.975,65.143,220.82,341.71,94.513,76.755,32.083,8.7745,26.856,6.8346,18.469,1.656,32.987,13.907,24.424,1.0503,18.249,2.1912,4.7072,2.2756,0.0076825,0.83631,0.099961,53.117,44.445,64.13,53.881,24.125,62.241,22.313,37.928,34.747,50.98,45.06,41.874,18.118,0.0,0
0.71928,3663.2,4418.0,8.7178,27.227,42.482,2703.0,74.591,120.4,0.32305,80.235,50.743,2632.2,22.818,50.938,3097.4,23.722,67.788,264.95,343.12,94.74,77.247,32.168,8.8416,26.35,6.7216,18.571,1.7154,33.039,13.917,23.436,1.2797,19.025,2.3132,4.8607,2.2728,0.020946,0.82308,0.11026,53.528,44.31,62.834,53.459,70.83,61.227,22.856,38.466,40.285,48.705,58.036,41.974,16.181,1.0,1
0.26566,3638.1,4485.3,9.2013,26.823,42.347,2689.0,74.673,120.42,0.3537,79.878,49.65,2617.3,26.33,50.255,3087.2,21.959,66.074,237.84,341.08,94.559,77.01,31.994,9.0321,26.183,6.9235,18.938,1.7158,32.918,14.037,23.598,1.4874,18.812,2.2829,4.9731,2.372,-0.0018339,0.83577,0.092412,53.415,44.504,62.565,55.11,26.513,62.448,21.676,42.734,37.07,47.124,50.216,41.361,20.505,9.0,1
0.0,3592.9,4184.4,9.5816,26.878,42.371,3000.0,73.822,120.39,0.21238,72.945,50.333,2919.7,25.706,49.799,3448.4,22.119,67.219,464.15,306.51,95.69,72.911,24.374,8.6083,35.446,6.8339,19.049,1.541,21.56,13.401,38.397,1.3581,19.078,1.9925,3.5025,1.5483,0.038317,1.0787,0.090191,54.581,41.969,66.981,41.344,100.0,100.0,-0.011353,0.0,39.081,46.069,100.25,-0.024607,64.966,6.0,1
0.2031,3687.1,4515.8,9.2187,27.076,41.965,2702.4,75.874,120.38,0.31801,79.894,48.619,2630.2,25.259,49.813,3099.3,23.385,65.304,221.62,341.31,94.627,76.997,31.723,9.0742,26.586,6.9063,18.529,1.653,33.507,13.742,23.679,1.2798,18.546,2.2773,4.8698,2.2962,0.017466,0.85343,0.096452,53.729,44.183,62.762,53.111,19.987,61.305,22.34,38.28,34.035,46.102,44.357,41.103,17.095,0.0,0
0.26231,3663.9,4530.1,9.327,26.671,42.289,2713.1,74.083,120.34,0.33209,79.994,50.906,2641.1,25.12,49.996,3108.7,23.203,66.128,239.1,342.52,96.336,76.797,32.381,8.8201,26.582,6.8304,18.574,1.6271,32.985,13.865,23.945,1.1653,18.328,2.2786,4.865,2.3243,0.02536,0.82699,0.10787,53.572,43.932,62.735,54.495,25.607,62.48,22.419,38.956,40.766,46.525,49.984,38.798,17.526,14.0,1
0.2333,3720.0,4647.5,9.5871,26.981,42.554,2766.5,75.686,120.4,0.66022,79.635,50.891,2697.2,23.295,48.728,3161.4,24.418,63.963,193.72,347.56,94.466,78.538,32.156,9.6948,26.91,6.8828,18.195,1.4833,32.944,15.093,24.834,1.1306,17.439,1.996,4.6581,2.2158,0.021359,0.80199,0.080133,54.208,43.846,63.862,55.625,22.545,65.054,24.195,76.463,40.721,43.589,37.801,41.606,14.219,2.0,1
0.28423,3680.7,4519.8,9.3202,26.493,42.021,2709.1,74.076,120.41,0.33103,80.055,49.086,2638.1,26.798,50.465,3106.3,23.209,66.52,250.75,341.85,94.424,76.982,32.479,8.7283,26.314,6.8296,18.814,1.6361,32.959,13.817,23.937,1.1239,18.465,2.2516,4.9415,2.2756,0.018503,0.85745,0.081484,53.82,43.547,62.78,54.169,28.274,60.54,22.321,39.539,35.411,47.61,52.9,40.554,17.537,0.0,0
0.24923,3656.3,4497.6,9.2874,27.175,42.566,2705.6,75.315,120.41,0.33849,80.206,48.78,2634.6,24.781,49.598,3105.2,22.274,65.689,228.39,340.12,94.58,77.061,31.714,8.8955,26.454,6.7058,19.095,1.6648,32.206,13.805,24.058,1.2284,19.142,2.2211,4.9406,2.4135,0.0074265,0.84316,0.093522,53.623,44.141,62.947,54.261,24.691,61.316,22.006,40.616,34.51,45.603,46.737,40.449,19.692,0.0,0
0.24515,3659.0,4451.0,9.3147,27.076,42.449,2698.1,75.626,120.35,0.35053,80.397,48.283,2627.0,24.767,50.091,3098.9,22.481,66.284,242.59,339.91,94.524,77.452,32.084,8.8063,26.456,6.8528,18.321,1.639,32.353,13.767,23.807,1.3462,19.006,2.2508,4.8295,2.3222,0.011251,0.82068,0.11136,53.4,43.821,62.829,54.199,23.893,62.37,21.466,41.703,33.048,46.745,49.988,40.945,19.157,0.0,0
0.26829,3639.8,4511.3,9.4038,26.874,42.554,2700.3,73.971,120.39,0.34513,80.209,50.272,2628.3,25.657,51.066,3099.8,22.239,66.041,239.74,339.95,94.489,77.152,31.751,8.8594,26.044,6.8226,18.598,1.6594,32.751,13.856,24.286,1.117,18.713,2.2612,4.8402,2.3274,0.010214,0.83803,0.10852,54.336,43.897,62.986,55.027,26.676,60.816,21.695,41.618,38.901,49.001,49.11,41.35,19.809,0.0,0
0.23283,3676.4,4450.9,9.3091,26.482,42.461,2694.4,74.863,120.71,0.33559,80.456,48.715,2622.9,26.047,49.567,3091.6,23.218,66.303,242.31,340.1,95.785,77.599,32.459,8.8998,26.556,7.021,19.272,1.6743,33.22,13.899,23.381,1.2922,19.114,2.3185,4.8473,2.2819,0.012509,0.82899,0.090275,53.239,43.993,63.673,53.921,23.052,60.649,21.685,39.934,34.318,45.533,50.657,49.87,17.469,14.0,1
0.33576,3605.0,4005.1,10.682,26.844,43.792,2643.8,65.665,120.44,0.45857,81.265,49.82,2573.3,24.144,51.506,3043.5,24.926,71.492,404.61,352.96,93.555,77.951,34.357,8.9775,21.725,6.6597,20.207,1.766,36.485,14.252,16.412,1.2368,20.871,2.508,5.2014,2.5177,0.014687,1.0847,0.1007,54.574,41.921,61.588,48.262,33.526,70.022,21.498,53.372,37.57,50.02,99.93,44.218,15.771,18.0,1
0.20438,3660.8,4533.9,9.2898,26.635,42.32,2695.0,75.247,120.38,0.3662,79.978,50.618,2622.6,24.382,50.722,3094.3,23.02,66.046,236.89,340.11,94.656,77.188,32.076,8.8597,26.082,6.937,18.677,1.6802,32.671,13.856,23.568,1.3237,18.443,2.3014,4.9133,2.37,0.014238,0.83138,0.089123,53.085,43.877,63.196,53.724,20.341,61.444,21.442,43.671,39.919,48.205,49.301,40.559,17.953,0.0,0
0.93699,3633.6,4472.6,8.3126,27.07,41.918,2766.9,78.063,120.4,0.2624,77.859,48.674,2693.7,25.808,50.37,3172.8,23.395,66.966,297.58,331.49,94.84,75.503,29.939,8.7722,28.87,6.9296,18.759,1.6476,29.209,13.649,28.642,1.293,18.807,2.1741,4.3827,2.1317,0.036193,0.9517,0.11158,55.123,43.396,63.291,54.709,91.908,53.535,21.348,31.539,34.196,47.39,64.063,40.824,18.157,1.0,1
0.22831,3632.9,4435.2,9.3364,26.88,42.187,2666.8,74.038,120.4,0.24755,80.361,50.395,2595.6,24.856,51.882,3057.6,22.951,68.714,295.94,345.33,94.618,76.931,33.172,8.7535,25.803,6.8436,18.793,1.6567,34.169,13.723,22.27,1.1102,19.099,2.2862,5.0089,2.3935,0.030888,0.81844,0.086004,53.369,44.762,62.412,52.851,22.691,61.451,22.536,29.097,39.263,50.89,66.536,40.583,18.112,8.0,1
0.22894,3703.9,4471.4,9.35,26.895,42.119,2711.6,74.81,120.42,0.34405,79.92,49.725,2641.0,26.033,50.591,3110.0,23.085,65.814,233.13,342.75,94.58,76.972,32.158,8.6891,27.055,6.6625,18.651,1.6627,33.404,13.726,23.911,1.2639,18.69,2.3182,4.8717,2.3306,0.025125,0.80935,0.09842,53.734,43.622,63.399,54.293,22.864,57.752,22.446,40.681,37.291,47.902,47.768,41.118,17.8,9.0,1
0.20838,3644.5,4601.3,9.341,27.604,42.431,2711.0,74.453,120.36,0.34482,79.503,50.489,2639.0,23.11,48.436,3107.6,23.661,65.987,240.55,342.74,94.687,77.283,32.21,8.8547,26.359,6.6647,18.463,1.6469,33.352,13.616,24.235,1.1881,18.28,2.2506,4.7761,2.3231,0.013609,0.82328,0.094259,53.281,43.77,63.044,54.445,20.421,61.635,23.007,40.694,39.54,42.914,51.542,39.492,16.485,19.0,1
0.27154,3669.7,4554.8,9.4407,26.499,42.342,2702.9,74.291,120.38,0.34306,80.178,50.713,2631.4,24.166,48.165,3100.5,23.02,65.742,230.28,341.61,94.576,77.419,32.52,8.8544,26.25,6.7738,18.587,1.6837,32.798,13.924,23.903,1.0985,18.674,2.2727,4.92,2.2515,0.010002,0.82745,0.093828,53.488,44.722,62.875,54.126,26.767,59.866,22.006,41.088,40.199,42.287,48.109,41.037,17.965,0.0,0
0.2357,3645.4,4470.6,9.2208,26.966,42.39,2701.9,74.898,120.39,0.35994,79.996,48.916,2629.7,23.713,49.917,3101.3,22.46,65.42,220.75,339.29,94.641,76.556,31.931,9.0039,26.399,7.0198,18.578,1.6833,32.834,13.837,24.598,1.3893,18.4,2.2045,4.8057,2.3703,0.025874,0.86793,0.10219,53.437,44.274,63.51,53.899,23.549,62.52,21.673,42.955,34.909,46.341,45.295,40.414,19.415,0.0,0
0.25495,3644.6,4504.9,9.3507,27.204,42.294,2714.4,75.532,120.29,0.33866,79.423,51.525,2643.0,25.339,48.403,3109.1,23.463,64.775,220.97,341.54,94.374,76.939,32.022,8.6788,26.375,6.8502,18.574,1.5999,33.238,13.603,24.165,1.1957,18.733,2.2114,4.7267,2.1692,0.017437,0.83256,0.09414,53.595,44.288,62.875,54.344,25.502,61.407,22.774,40.337,42.586,42.838,44.324,41.257,17.004,17.0,1
0.26402,3708.1,4461.1,9.3388,26.594,42.535,2711.9,73.766,120.42,0.32705,79.746,49.426,2639.1,24.436,52.678,3108.9,23.247,65.355,225.09,342.47,94.164,76.86,32.258,8.8973,26.601,6.9322,18.969,1.6485,32.798,13.636,23.868,1.3048,18.03,2.2454,4.6246,2.2549,0.0078316,0.84196,0.11664,54.24,43.174,64.669,54.08,25.798,62.197,22.011,38.461,36.41,52.731,45.354,41.871,17.617,20.0,1
0.75422,3653.1,4484.3,8.8432,27.054,42.27,2705.4,74.706,120.4,0.31002,80.175,49.925,2635.3,26.556,50.243,3100.5,23.005,68.018,276.96,343.62,94.287,77.522,32.938,9.0929,25.92,6.876,18.321,1.7642,33.325,13.796,23.619,1.2989,18.407,2.3364,4.7487,2.3704,0.01118,0.84841,0.096659,53.567,44.463,63.838,52.482,74.175,56.47,22.621,36.868,37.879,47.097,61.031,41.453,17.901,1.0,1
0.074071,3789.7,4661.1,9.7167,27.217,42.541,2837.5,76.95,120.4,0.26434,76.979,47.868,2771.2,26.261,48.914,3218.6,22.288,60.5,154.54,352.9,93.863,77.137,32.873,8.4732,29.056,6.893,17.175,1.5604,33.759,13.206,28.087,1.0045,15.757,2.0739,4.1619,1.9963,0.0036108,0.83295,0.10905,53.9,44.035,63.886,57.589,7.3027,60.958,28.402,29.371,31.825,44.021,27.073,43.568,18.99,12.0,1
0.25,3631.9,4470.7,9.299,26.592,42.53,2718.7,74.367,120.39,0.35036,79.36,50.71,2623.0,24.073,50.659,3114.2,23.202,65.489,235.05,337.92,94.695,76.799,31.787,8.8774,26.443,6.749,18.709,1.6424,32.667,13.717,24.059,1.1457,18.918,2.2846,4.7968,2.2208,0.021934,0.8613,0.083942,53.123,44.338,62.851,54.133,24.896,62.027,19.058,41.823,40.188,48.059,47.945,40.323,17.747,20.0,1
0.2792,3594.2,4533.1,8.9737,27.115,42.367,2701.9,77.257,120.41,0.14777,79.442,48.988,2631.5,26.101,50.876,3095.2,23.142,61.213,122.33,339.65,95.031,76.519,31.609,8.3365,27.439,6.794,19.633,1.7098,32.473,12.953,25.722,1.3136,18.856,2.2669,4.6137,2.2549,0.01784,0.93822,0.12114,53.446,43.916,62.26,54.132,27.859,60.528,22.723,17.274,35.121,48.561,22.646,41.155,17.854,8.0,1
0.26788,3601.9,4542.7,9.4959,27.055,42.38,2701.7,75.615,120.39,0.341,80.511,49.299,2630.0,26.589,50.216,3097.7,22.139,65.987,235.9,340.69,94.692,77.733,32.443,8.8417,26.097,6.8829,18.882,1.6815,32.941,14.047,23.52,1.2705,18.56,2.2832,4.7944,2.3399,0.01644,0.84869,0.10255,53.818,43.746,62.097,53.848,25.946,59.014,22.32,40.28,36.037,47.035,49.032,40.676,20.016,0.0,0
0.28161,3725.9,4557.6,9.3542,26.721,42.53,2706.4,74.854,120.42,0.34915,80.129,50.955,2634.9,25.351,48.837,3106.8,22.476,65.825,232.98,341.1,94.462,77.29,32.236,9.0843,26.576,6.9723,18.842,1.6401,32.557,13.918,24.166,1.2546,19.034,2.2324,4.8353,2.31,0.025837,0.84367,0.093184,54.431,43.368,62.809,53.449,27.73,60.762,21.741,41.269,40.912,43.841,47.763,41.168,19.221,9.0,1
0.33076,3670.3,4684.9,8.6801,26.681,41.793,2713.0,78.71,120.39,0.28174,79.142,49.311,2639.3,26.845,49.009,3117.2,22.063,59.578,84.341,329.68,95.221,75.773,30.625,9.027,28.033,7.3406,19.43,1.6082,30.753,13.608,26.333,1.3926,19.102,2.2162,4.5155,2.0936,0.018023,0.98945,0.12501,53.847,43.36,64.074,56.058,32.472,68.427,20.107,33.915,36.071,44.241,15.033,39.157,20.889,7.0,1
0.25182,3623.3,4556.1,9.1527,26.4,41.91,2695.4,75.537,120.42,0.35542,80.379,50.468,2623.2,24.15,49.819,3092.8,22.454,66.42,241.2,340.41,91.188,77.208,32.061,8.8532,25.828,7.0269,18.432,1.6606,33.059,13.849,23.687,1.2652,18.843,2.2812,4.8978,2.3454,0.017752,0.81775,0.091391,52.845,44.088,61.844,53.687,24.688,63.094,21.703,42.476,39.477,46.115,50.38,43.683,19.265,17.0,1
0.16545,3580.3,4470.0,9.5147,26.733,42.202,2699.9,74.673,120.4,0.33712,80.282,49.78,2629.7,23.244,49.622,3094.7,22.595,65.938,234.22,343.02,94.928,77.44,32.546,9.0701,26.054,7.107,18.877,1.6973,34.038,13.913,22.972,1.2012,18.933,2.2839,4.8017,2.3068,0.0097195,0.82478,0.089419,53.711,43.946,63.188,54.193,16.393,58.993,22.622,40.17,37.452,45.66,48.375,40.694,18.975,8.0,1
0.22611,3689.6,4560.6,9.1801,26.726,42.194,2704.9,74.499,120.41,0.34233,80.237,48.572,2634.1,24.627,50.72,3103.6,22.254,65.762,227.55,340.38,94.355,77.255,32.042,8.9123,26.415,6.958,18.6,1.67,32.807,13.853,23.975,1.2558,18.362,2.2249,4.9667,2.3099,0.027738,0.83226,0.091747,53.603,42.887,64.146,54.116,22.364,60.731,22.037,41.116,33.898,48.2,47.285,41.75,19.748,0.0,0
0.20151,3717.8,4497.4,9.3903,26.856,41.681,2698.5,74.92,120.43,0.33138,80.178,49.934,2627.6,25.37,49.737,3095.8,23.487,65.335,215.62,340.36,94.619,77.168,31.872,8.8227,26.349,6.9622,18.665,1.6128,32.871,14.005,23.867,1.1991,18.143,2.2752,4.8709,2.3711,0.02083,0.84032,0.10257,53.995,43.909,63.823,54.412,19.767,60.279,22.097,39.77,37.905,45.926,44.014,42.146,16.823,0.0,0
0.15761,3673.5,4521.4,9.4619,27.085,42.18,2691.7,74.501,120.4,0.34164,80.272,49.393,2620.2,25.113,49.084,3087.1,22.511,66.307,241.4,341.93,94.63,77.473,32.434,8.996,26.067,6.937,18.608,1.653,33.177,13.858,23.731,1.1741,18.929,2.3158,4.9764,2.3992,0.014565,0.82226,0.10067,53.594,44.149,62.699,54.164,15.499,60.672,22.325,41.032,36.314,44.415,50.248,41.511,21.908,5.0,1
0.24245,3670.3,4547.1,9.4128,27.164,42.076,2711.3,74.936,120.45,0.32667,79.982,48.927,2639.8,25.68,50.869,3107.1,22.666,65.834,235.21,342.79,90.63,77.192,32.159,8.8354,26.378,6.8011,18.709,1.6361,33.478,13.796,24.01,1.0672,18.127,2.3061,4.9185,2.312,0.036276,0.83363,0.098416,53.501,44.034,63.039,53.741,24.353,61.403,22.589,38.904,34.943,48.544,48.331,44.086,18.773,17.0,1
0.23238,3713.5,4579.1,9.2954,26.909,42.617,2698.8,74.887,120.38,0.3644,79.975,49.194,2626.5,25.524,50.419,3097.1,23.083,65.746,230.16,340.06,94.784,77.147,31.843,8.8798,26.446,6.9283,18.659,1.6116,33.069,13.743,24.442,1.2463,18.872,2.2249,4.9609,2.3161,0.037254,0.82115,0.10198,53.715,44.25,63.026,54.582,22.95,61.782,21.666,43.193,35.728,47.504,47.735,40.839,17.817,15.0,1
0.27815,3599.2,4520.7,9.4382,26.926,42.383,2695.2,74.668,120.4,0.3447,80.199,50.492,2623.1,25.703,48.092,3097.8,22.353,66.017,235.47,337.82,94.964,76.953,32.021,8.8582,26.375,6.8334,18.572,1.6212,32.212,13.855,24.022,1.4139,19.229,2.2991,4.9335,2.2766,0.0161,0.87218,0.1097,53.825,43.962,62.391,53.895,27.309,61.439,21.045,41.812,39.549,42.119,49.376,40.489,19.658,0.0,0
0.20212,3616.1,4359.6,9.8673,27.02,42.843,2684.7,71.589,120.41,0.36821,81.141,51.044,2615.4,26.204,51.04,3074.6,22.848,72.243,391.91,352.67,94.033,78.366,34.162,9.0394,24.244,7.0111,18.3,1.724,35.654,14.13,20.726,1.205,18.449,2.3642,5.0881,2.4047,0.029179,0.79468,0.090593,54.06,43.158,63.703,52.506,20.638,82.305,23.774,42.402,41.172,48.941,99.994,42.71,18.143,7.0,1
0.24697,3655.4,4516.7,9.3697,26.847,42.588,2713.2,74.921,120.4,0.33348,79.762,49.799,2641.3,24.634,52.15,3111.8,22.841,64.734,208.66,340.37,94.71,76.964,32.181,8.7611,26.839,6.8613,19.277,1.6263,32.189,13.677,24.754,1.1877,18.652,2.2604,4.7727,2.4377,0.031747,0.86079,0.10704,53.875,43.918,63.368,54.425,24.226,60.458,22.17,39.685,37.508,51.51,42.023,40.998,18.468,0.0,0
0.29035,3762.1,4460.2,9.3493,26.906,42.369,2681.6,74.862,120.42,0.3654,80.408,50.433,2609.4,26.845,50.38,3084.4,22.434,64.566,219.33,336.32,94.563,77.159,31.79,8.9692,26.206,7.0099,19.345,1.6518,32.378,13.825,23.761,1.1947,19.157,2.3132,4.9903,2.2465,0.0044107,0.88164,0.10945,54.311,43.363,63.368,53.403,28.657,60.731,20.672,43.832,39.375,47.414,43.743,40.903,19.414,10.0,1
0.24082,3634.8,4637.8,9.499,27.403,42.695,2692.4,74.601,120.39,0.66119,81.351,49.809,2619.5,25.184,49.716,3091.7,23.239,63.391,141.9,341.76,94.526,79.276,32.15,8.7894,26.865,7.1613,18.668,1.0045,32.808,13.682,24.294,1.2118,18.749,1.4086,5.1742,2.4448,0.031062,0.82573,0.058383,53.717,43.498,62.664,55.607,23.411,64.734,21.587,80.086,37.539,45.877,27.458,41.91,16.132,2.0,1
0.25993,3680.8,4641.8,9.7144,26.864,43.089,2727.6,74.753,120.39,0.77981,80.219,51.017,2656.1,25.676,48.463,3125.6,23.225,63.672,170.11,345.61,94.443,78.735,32.08,9.3097,26.883,6.817,17.732,1.2858,32.919,14.557,24.246,1.0395,17.593,1.7798,4.9488,2.3006,0.024579,0.80375,0.088153,53.254,43.998,63.165,55.683,25.788,64.185,22.916,91.252,41.092,42.977,32.576,41.817,16.677,2.0,1
0.24283,3697.5,4512.5,9.3222,27.274,42.734,2705.9,75.648,120.05,0.32378,80.238,51.073,2635.4,26.6,50.502,3104.1,22.337,65.639,225.58,341.22,94.358,76.961,32.12,8.9751,26.437,6.8278,18.389,1.6589,33.11,13.786,24.239,1.109,18.42,2.2325,4.8123,2.3476,0.011813,0.83072,0.10043,53.173,44.169,62.497,54.423,24.317,58.707,22.257,38.736,41.259,47.696,46.578,31.361,19.584,14.0,1
0.27454,3687.9,4484.2,9.2967,27.031,42.396,2703.3,74.502,120.39,0.32657,79.996,50.091,2631.2,24.41,50.961,3103.4,22.708,65.854,234.78,340.2,94.518,77.381,32.078,8.968,26.448,6.8114,18.401,1.6542,32.809,13.884,23.799,1.3138,18.867,2.2684,4.8096,2.2833,0.027771,0.83011,0.11698,53.425,44.216,63.251,54.75,27.05,60.006,21.822,38.652,38.369,48.758,49.059,41.433,18.74,0.0,0
0.26465,3674.6,4490.6,9.183,27.009,42.331,2702.4,74.67,120.06,0.33656,80.173,51.171,2631.9,24.322,50.95,3099.9,23.172,65.786,229.95,341.12,94.268,77.197,32.24,8.6153,26.046,6.6994,18.539,1.6247,33.322,13.605,23.425,1.2473,18.84,2.2536,4.7878,2.3093,0.027018,0.83465,0.10414,54.055,44.123,63.149,54.3,25.858,64.475,22.112,39.667,41.546,48.733,47.81,31.268,17.573,14.0,1
0.22181,3642.6,4544.2,9.4865,27.034,42.225,2712.2,74.184,120.39,0.35312,79.929,50.167,2640.8,24.838,49.854,3108.7,22.433,65.473,227.32,342.86,94.576,77.535,31.886,8.785,26.405,6.834,18.695,1.6429,32.904,13.697,24.404,1.1117,18.546,2.2504,4.8455,2.3006,0.020061,0.80882,0.073449,53.356,43.478,63.37,54.243,21.534,62.534,22.859,41.325,38.593,46.196,46.491,40.934,19.247,0.0,0
